SHS_date,Model,Changes,GPU_Share,GPU_Class,GPU_Series,VRAM,Performance,GPU_Launch_Year,Launch_MSRP,PricePerDollar,Availability
01/07/2026,RTX 4060,0.0049,4.59,Mid,GF40,8,75,2023,299,25,Y
01/07/2026,RTX 3060,0.0004,4.54,Mid,GF30,12,65,2021,329,20,Y
01/07/2026,RTX 5070,0.0047,3,Mid+,GF50,12,85,2025,549,15,Y
01/07/2026,RTX 3050,-0.0005,3.18,Lower,GF30,8,45,2021,249,18,Y
01/07/2026,RTX 5060,0.0075,2.62,Mid,GF50,8,80,2025,299,27,Y
01/07/2026,RTX 5060 Ti,0.0027,1.66,Mid,GF50,16,85,2025,429,20,Y
01/07/2026,GTX 1650,-0.0018,2.9,Lower,GF16,4,25,2019,149,17,N
01/07/2026,RTX 4060 Ti,0.0009,2.88,Mid,GF40,16,80,2023,499,16,Y
01/07/2026,RTX 4070 SUPER,0.0001,1.77,Mid+,GF40,12,85,2024,599,14,Y
01/07/2026,RTX 4070,0.0005,2.22,Mid+,GF40,12,85,2023,599,14,Y
01/07/2026,RTX 3060 Ti,0.0001,2.62,Mid,GF30,8,75,2020,399,19,N
01/07/2026,RTX 3080,-0.0008,1.66,Top,GF30,12,85,2020,699,12,N
01/07/2026,RTX 3070,-0.0003,2.41,Mid+,GF30,8,80,2020,499,16,N
01/07/2026,RTX 2060,-0.0009,2.03,Mid,GF20,6,60,2019,349,17,N
01/07/2026,GTX 1060,-0.0008,1.85,Mid,GF10,6,30,2016,249,12,N
01/07/2026,GTX 1660 SUPER,-0.0008,1.59,Mid,GF16,6,45,2019,229,20,N
01/07/2026,RTX 5070 Ti,0.0025,1.58,Mid+,GF50,16,90,2025,749,12,Y
01/07/2026,GTX 1050 Ti,-0.0008,1.41,Lower,GF10,4,20,2016,109,18,N
01/07/2026,RTX 5080,0.0012,1.31,Top,GF50,16,95,2025,999,10,Y
01/07/2026,RX 7800 XT,0.0013,1.16,Top,R7000,16,80,2023,499,16,Y
01/07/2026,RTX 3070 Ti,-0.0001,1.12,Mid+,GF30,8,80,2021,599,13,N
01/07/2026,RTX 4070 Ti,-0.0001,1.08,Mid+,GF40,12,85,2023,799,11,Y
01/07/2026,GTX 1660 Ti,-0.0006,1.05,Mid,GF16,6,50,2019,279,18,N
01/07/2026,RX 6600,-0.0003,0.92,Mid,R6000,8,60,2021,329,18,Y
01/07/2026,RTX 2060 SUPER,-0.0002,0.88,Mid,GF20,8,65,2019,399,16,N
01/07/2026,RTX 4070 Ti SUPER,0,0.86,Mid+,GF40,16,85,2024,799,11,Y
01/07/2026,RTX 2070 SUPER,-0.0004,0.84,Mid+,GF20,8,70,2019,499,14,N
01/07/2026,RTX 4090,-0.0005,0.84,Top+,GF40,24,100,2022,1599,6,Y
01/07/2026,GTX 1070,-0.0005,0.77,Mid,GF10,8,50,2016,379,13,N
01/07/2026,RTX 4080 SUPER,-0.0001,0.76,Top,GF40,16,90,2024,999,9,Y
01/07/2026,RTX 4080,-0.0003,0.74,Top,GF40,16,90,2022,1199,8,Y
01/07/2026,GTX 1050,-0.0004,0.67,Lower,GF10,2,15,2016,139,11,N
01/07/2026,RX 7600 XT,0.0008,0.65,Mid,R7000,16,75,2024,329,23,Y
01/07/2026,RX 580,-0.0003,0.64,Mid,R500,8,30,2017,229,13,N
01/07/2026,RTX 3080 Ti,-0.0004,0.64,Top+,GF30,12,85,2021,1199,7,N
01/07/2026,RX 5700 XT,-0.0004,0.63,Mid+,R5000,8,70,2019,399,18,N
01/07/2026,RX 6700 XT,-0.0004,0.63,Mid+,R6000,12,75,2021,479,16,N
01/07/2026,RX 5700 XT,0,0.63,Mid+,R5000,8,70,2019,399,18,N
01/07/2026,RX 580,-0.0391,0.62,Mid,R500,8,30,2017,229,13,N
01/07/2026,GTX 1660,-0.0003,0.56,Mid,GF16,6,40,2019,219,18,N
01/07/2026,RTX 2070,-0.0003,0.55,Mid+,GF20,8,65,2018,499,13,N
01/07/2026,RX 7900 XTX,-0.0003,0.53,Top+,R7000,24,90,2022,999,9,Y
01/07/2026,GTX 1080,-0.0004,0.49,Top,GF10,8,60,2016,599,10,N
01/07/2026,RTX 3090,-0.0002,0.45,Top+,GF30,24,85,2020,1499,6,N
01/07/2026,RX 570,-0.0002,0.41,Lower,R500,8,25,2017,169,15,N
01/07/2026,RTX 5090,0.0002,0.41,Top+,GF50,32,125,2025,1999,6,Y
01/07/2026,GTX 1080 Ti,-0.0002,0.38,Top+,GF10,11,70,2017,699,10,N
01/07/2026,RX 6600 XT,0,0.37,Mid,R6000,8,70,2021,379,18,Y
01/07/2026,RX 6750 XT,-0.0001,0.36,Mid+,R6000,12,75,2021,499,15,N
01/07/2026,GTX 1650 SUPER,-0.0003,0.32,Lower,GF16,4,35,2019,159,22,N
01/07/2026,RTX 2080 SUPER,-0.0002,0.32,Top,GF20,8,75,2019,699,11,N
01/06/2026,RTX 4060,-0.0566,4.33,Mid,GF40,8,75,2023,299,25,Y
01/06/2026,RTX 3060,-0.0264,4.42,Mid,GF30,12,65,2021,329,20,Y
01/06/2026,RTX 5070,-0.005,2.99,Mid+,GF50,12,85,2025,549,15,Y
01/06/2026,RTX 3050,0.011,3.22,Lower,GF30,8,45,2021,249,18,Y
01/06/2026,RTX 5060,-0.0229,2.56,Mid,GF50,8,80,2025,299,27,Y
01/06/2026,RTX 5060 Ti,0.0211,1.7,Mid,GF50,16,85,2025,429,20,Y
01/06/2026,GTX 1650,-0.0086,2.88,Lower,GF16,4,25,2019,149,17,N
01/06/2026,RTX 4060 Ti,-0.0503,2.74,Mid,GF40,16,80,2023,499,16,Y
01/06/2026,RTX 4070 SUPER,-0.0339,1.71,Mid+,GF40,12,85,2024,599,14,Y
01/06/2026,RTX 4070,-0.0541,2.1,Mid+,GF40,12,85,2023,599,14,Y
01/06/2026,RTX 3060 Ti,-0.0363,2.53,Mid,GF30,8,75,2020,399,19,N
01/06/2026,RTX 3080,-0.0181,1.63,Top,GF30,12,85,2020,699,12,N
01/06/2026,RTX 3070,-0.0228,2.36,Mid+,GF30,8,80,2020,499,16,N
01/06/2026,RTX 2060,-0.0172,2,Mid,GF20,6,60,2019,349,17,N
01/06/2026,GTX 1060,-0.027,1.8,Mid,GF10,6,30,2016,249,12,N
01/06/2026,RTX 5070 Ti,0.0095,1.6,Mid+,GF50,16,90,2025,749,12,Y
01/06/2026,GTX 1660 SUPER,-0.022,1.56,Mid,GF16,6,45,2019,229,20,N
01/06/2026,GTX 1050 Ti,-0.0213,1.38,Lower,GF10,4,20,2016,109,18,N
01/06/2026,RTX 5080,0.0305,1.35,Top,GF50,16,95,2025,999,10,Y
01/06/2026,GTX 1050 Ti,-0.0217,1.35,Lower,GF10,4,20,2016,109,18,N
01/06/2026,RX 7800 XT,0.0211,1.21,Top,R7000,16,80,2023,499,16,Y
01/06/2026,RX 7800 XT,0.0216,1.19,Top,R7000,16,80,2023,499,16,Y
01/06/2026,RTX 3070 Ti,-0.0357,1.08,Mid+,GF30,8,80,2021,599,13,N
01/06/2026,GTX 1660 Ti,-0.0143,1.04,Mid,GF16,6,50,2019,279,18,N
01/06/2026,RTX 4070 Ti,-0.0417,1.04,Mid+,GF40,12,85,2023,799,11,Y
01/06/2026,RX 6600,-0.0109,0.91,Mid,R6000,8,60,2021,329,18,Y
01/06/2026,RX 6600,-0.011,0.9,Mid,R6000,8,60,2021,329,18,Y
01/06/2026,RTX 2060 SUPER,-0.0227,0.86,Mid,GF20,8,65,2019,399,16,N
01/06/2026,RTX 4070 Ti SUPER,-0.0349,0.83,Mid+,GF40,16,85,2024,799,11,Y
01/06/2026,RTX 4090,-0.0179,0.83,Top+,GF40,24,100,2022,1599,6,Y
01/06/2026,RTX 2070 SUPER,-0.0238,0.82,Mid+,GF20,8,70,2019,499,14,N
01/06/2026,GTX 1070,-0.026,0.75,Mid,GF10,8,50,2016,379,13,N
01/06/2026,RX 7600 XT,0.0647,0.74,Mid,R7000,16,75,2024,329,23,Y
01/06/2026,RTX 4080,-0.0135,0.73,Top,GF40,16,90,2022,1199,8,Y
01/06/2026,RTX 4080 SUPER,-0.0395,0.73,Top,GF40,16,90,2024,999,9,Y
01/06/2026,RX 7600 XT,0.0692,0.7,Mid,R7000,16,75,2024,329,23,Y
01/06/2026,GTX 1050,-0.0075,0.67,Lower,GF10,2,15,2016,139,11,N
01/06/2026,GTX 1050,-0.0075,0.66,Lower,GF10,2,15,2016,139,11,N
01/06/2026,RTX 3080 Ti,-0.0156,0.63,Top+,GF30,12,85,2021,1199,7,N
01/06/2026,RX 5700 XT,0,0.63,Mid+,R5000,8,70,2019,399,18,N
01/06/2026,RX 6700 XT,-0.0238,0.62,Mid+,R6000,12,75,2021,479,16,N
